Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
I1S439	FGRAMPH1_01T06691	GO:0005524; GO:0005634; GO:0005737; GO:0008540; GO:0016887; GO:0043161; GO:0045899; GO:0070682	cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome regulatory particle assembly [GO:0070682]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
I1S440		GO:0016020	membrane [GO:0016020]
I1S456	FGRAMPH1_01T11287	GO:0005345; GO:0005886; GO:0012505; GO:0015853; GO:0015854	endomembrane system [GO:0012505]; plasma membrane [GO:0005886]; purine nucleobase transmembrane transporter activity [GO:0005345]; adenine transport [GO:0015853]; guanine transport [GO:0015854]
I1S461	FGRAMPH1_01T11293	GO:0000076; GO:0003677; GO:0006974; GO:0031297; GO:0031298; GO:0043111	replication fork protection complex [GO:0031298]; DNA binding [GO:0003677]; DNA damage response [GO:0006974]; DNA replication checkpoint signaling [GO:0000076]; replication fork arrest [GO:0043111]; replication fork processing [GO:0031297]
I1S462		GO:0000981; GO:0003677; GO:0005634; GO:0006986; GO:0045944	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to unfolded protein [GO:0006986]
I1S464	FGRAMPH1_01T26107	GO:0005743; GO:0006120	mitochondrial inner membrane [GO:0005743]; mitochondrial electron transport, NADH to ubiquinone [GO:0006120]
I1S467		GO:0000049; GO:0005737; GO:0030488; GO:0043528; GO:0160102	cytoplasm [GO:0005737]; tRNA (m2G10) methyltransferase complex [GO:0043528]; tRNA (guanine(10)-N2)-methyltransferase activity [GO:0160102]; tRNA binding [GO:0000049]; tRNA methylation [GO:0030488]
I1S472	FGRAMPH1_01T06677	GO:0005773; GO:0006623; GO:0007039; GO:0034657; GO:0043161; GO:0045721	GID complex [GO:0034657]; vacuole [GO:0005773]; negative regulation of gluconeogenesis [GO:0045721]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein catabolic process in the vacuole [GO:0007039]; protein targeting to vacuole [GO:0006623]
I1S490	FGRAMPH1_01T00139 FGSG_11657		
I1S4A4	FGRAMPH1_01T00261	GO:0008422; GO:0030245	beta-glucosidase activity [GO:0008422]; cellulose catabolic process [GO:0030245]
I1S4B6	FG00146.1 FGRAMPH1_01T00395	GO:0000981; GO:0005634; GO:0006351; GO:0008270; GO:0043565; GO:0045944	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription by RNA polymerase II [GO:0045944]
I1S4D0	FG00178.1 FGRAMPH1_01T00483	GO:0004356; GO:0005524; GO:0006542; GO:0006576	ATP binding [GO:0005524]; glutamine synthetase activity [GO:0004356]; biogenic amine metabolic process [GO:0006576]; glutamine biosynthetic process [GO:0006542]
I1S4D1		GO:0005634; GO:0005739; GO:0005829; GO:0006753; GO:0019693; GO:0047631	cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; ADP-ribose diphosphatase activity [GO:0047631]; nucleoside phosphate metabolic process [GO:0006753]; ribose phosphate metabolic process [GO:0019693]
I1S4D6	FG00191.1		
I1S4E2		GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
I1S4G2	FG00244.1	GO:0006584; GO:0008171; GO:0032259	O-methyltransferase activity [GO:0008171]; catecholamine metabolic process [GO:0006584]; methylation [GO:0032259]
I1S4H6	MDM12 FGRAMPH1_01T00783	GO:0005789; GO:0008289; GO:0015914; GO:0032865; GO:0045040; GO:1990456	endoplasmic reticulum membrane [GO:0005789]; ERMES complex [GO:0032865]; lipid binding [GO:0008289]; mitochondrion-endoplasmic reticulum membrane tethering [GO:1990456]; phospholipid transport [GO:0015914]; protein insertion into mitochondrial outer membrane [GO:0045040]
I1S4L4		GO:0000182; GO:0005730; GO:0006355	nucleolus [GO:0005730]; rDNA binding [GO:0000182]; regulation of DNA-templated transcription [GO:0006355]
I1S4P7	FGRAMPH1_01T01803	GO:0005774; GO:0005886; GO:0022857	plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774]; transmembrane transporter activity [GO:0022857]
I1S4Q4	FG00755.1 FGRAMPH1_01T01905	GO:0004814; GO:0005524; GO:0005739; GO:0006420; GO:0032543	mitochondrion [GO:0005739]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]; mitochondrial translation [GO:0032543]
I1S4S5	FG00854.1 FGRAMPH1_01T02139	GO:0004777; GO:0005737; GO:0009450	cytoplasm [GO:0005737]; succinate-semialdehyde dehydrogenase (NAD+) activity [GO:0004777]; gamma-aminobutyric acid catabolic process [GO:0009450]
I1S4S8	FGRAMPH1_01T02157	GO:0005634; GO:0005737; GO:0010485; GO:0043998; GO:1990189	cytoplasm [GO:0005737]; nucleus [GO:0005634]; histone H2A acetyltransferase activity [GO:0043998]; histone H4 acetyltransferase activity [GO:0010485]; protein N-terminal-serine acetyltransferase activity [GO:1990189]
I1S4T0	FG00881.1	GO:0005770; GO:0006623; GO:0030897; GO:0034058	HOPS complex [GO:0030897]; late endosome [GO:0005770]; endosomal vesicle fusion [GO:0034058]; protein targeting to vacuole [GO:0006623]
I1S4T7		GO:0003677; GO:0003899; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006366; GO:0008270; GO:0042797	RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; tRNA transcription by RNA polymerase III [GO:0042797]
I1S4T8		GO:0003697; GO:0004520; GO:0005634; GO:0016788; GO:0046872; GO:1901255	nucleus [GO:0005634]; DNA endonuclease activity [GO:0004520]; hydrolase activity, acting on ester bonds [GO:0016788]; metal ion binding [GO:0046872]; single-stranded DNA binding [GO:0003697]; nucleotide-excision repair involved in interstrand cross-link repair [GO:1901255]
I1S4W6		GO:0005759; GO:0016407; GO:0031405; GO:0045333	mitochondrial matrix [GO:0005759]; acetyltransferase activity [GO:0016407]; lipoic acid binding [GO:0031405]; cellular respiration [GO:0045333]
I1S4X2	FG01071.1 FGRAMPH1_01T02675	GO:0005096; GO:0005938; GO:0007165; GO:0035091	cell cortex [GO:0005938]; GTPase activator activity [GO:0005096]; phosphatidylinositol binding [GO:0035091]; signal transduction [GO:0007165]
I1S4X9	FG01090.1	GO:0003951; GO:0006741; GO:0019674	NAD+ kinase activity [GO:0003951]; NAD+ metabolic process [GO:0019674]; NADP+ biosynthetic process [GO:0006741]
I1S520		GO:0000105; GO:0000287; GO:0003879; GO:0005524; GO:0005737	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP phosphoribosyltransferase activity [GO:0003879]; magnesium ion binding [GO:0000287]; L-histidine biosynthetic process [GO:0000105]
I1S523	FG01367.1 FGRAMPH1_01T03373	GO:0005524; GO:0005634; GO:0005694; GO:0006298; GO:0030983; GO:0051026; GO:0140664	chromosome [GO:0005694]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; mismatched DNA binding [GO:0030983]; chiasma assembly [GO:0051026]; mismatch repair [GO:0006298]
I1S558	FG01601.1 FGRAMPH1_01T03911	GO:0005634; GO:0030488; GO:0031515	nucleus [GO:0005634]; tRNA (m1A) methyltransferase complex [GO:0031515]; tRNA methylation [GO:0030488]
I1S559	FGRAMPH1_01T03913	GO:0005739; GO:0005885; GO:0006897; GO:0007163; GO:0030479; GO:0030833; GO:0034314; GO:0044396; GO:0051015; GO:0051654	actin cortical patch [GO:0030479]; Arp2/3 protein complex [GO:0005885]; mitochondrion [GO:0005739]; actin filament binding [GO:0051015]; actin cortical patch organization [GO:0044396]; Arp2/3 complex-mediated actin nucleation [GO:0034314]; endocytosis [GO:0006897]; establishment of mitochondrion localization [GO:0051654]; establishment or maintenance of cell polarity [GO:0007163]; regulation of actin filament polymerization [GO:0030833]
I1S561		GO:0004725	protein tyrosine phosphatase activity [GO:0004725]
I1S570	FGRAMPH1_01T04099	GO:0005524; GO:0005743; GO:0015421; GO:0016887; GO:0090374	mitochondrial inner membrane [GO:0005743]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; oligopeptide export from mitochondrion [GO:0090374]
I1S5B1	FGRAMPH1_01T04657	GO:0005789; GO:0006505; GO:0006888; GO:0015031; GO:0050185	endoplasmic reticulum membrane [GO:0005789]; phosphatidylinositol deacylase activity [GO:0050185]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; GPI anchor metabolic process [GO:0006505]; protein transport [GO:0015031]
I1S5B3	FGRAMPH1_01T04677	GO:0000139; GO:0005789; GO:0006665; GO:0016125; GO:0032366; GO:0032541; GO:0097036	cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; intracellular sterol transport [GO:0032366]; regulation of plasma membrane sterol distribution [GO:0097036]; sphingolipid metabolic process [GO:0006665]; sterol metabolic process [GO:0016125]
I1S5B6	FG01945.1 FGRAMPH1_01T04699	GO:0003676; GO:0005524; GO:0005634; GO:0006289; GO:0036297; GO:0043138	nucleus [GO:0005634]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; nucleic acid binding [GO:0003676]; interstrand cross-link repair [GO:0036297]; nucleotide-excision repair [GO:0006289]
I1S5J9	FGRAMPH1_01T05663	GO:0004029	aldehyde dehydrogenase (NAD+) activity [GO:0004029]
I1S5M1	FGRAMPH1_01T05915	GO:0004252; GO:0005576; GO:0006508; GO:0008240; GO:0046872	extracellular region [GO:0005576]; metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]; tripeptidyl-peptidase activity [GO:0008240]; proteolysis [GO:0006508]
I1S5P3	FGP1 FGRRES_12164 FGSG_12164	GO:0003677; GO:0005634	nucleus [GO:0005634]; DNA binding [GO:0003677]
I1S5R0		GO:0004129; GO:0005743; GO:0006123; GO:0008270; GO:0033617; GO:0045277; GO:1990145	mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; zinc ion binding [GO:0008270]; maintenance of translational fidelity [GO:1990145]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial respiratory chain complex IV assembly [GO:0033617]
I1S5R2	FG02716.1 FGRAMPH1_01T06513	GO:0005768; GO:0005829; GO:0006623; GO:0016020; GO:0032266; GO:0042147	cytosol [GO:0005829]; endosome [GO:0005768]; membrane [GO:0016020]; phosphatidylinositol-3-phosphate binding [GO:0032266]; protein targeting to vacuole [GO:0006623]; retrograde transport, endosome to Golgi [GO:0042147]
I1S5R6	FGRAMPH1_01T06543	GO:0003735; GO:0005763; GO:0006412; GO:0070181	mitochondrial small ribosomal subunit [GO:0005763]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
I1S5R7	FG02726.1	GO:0000151; GO:0031624; GO:0032182; GO:0045116; GO:0097602	ubiquitin ligase complex [GO:0000151]; cullin family protein binding [GO:0097602]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin-like protein binding [GO:0032182]; protein neddylation [GO:0045116]
I1S5T1	PAD1 FGRAMPH1_01T15845	GO:0005739; GO:0016831; GO:0106141	mitochondrion [GO:0005739]; carboxy-lyase activity [GO:0016831]; flavin prenyltransferase activity [GO:0106141]
I1S5Y0	FG04467.1 FGRAMPH1_01T15371	GO:0004065; GO:0005539; GO:0008449; GO:0018958	arylsulfatase activity [GO:0004065]; glycosaminoglycan binding [GO:0005539]; N-acetylglucosamine-6-sulfatase activity [GO:0008449]; phenol-containing compound metabolic process [GO:0018958]
I1S5Z3	FG04387.1 FGRAMPH1_01T15163	GO:0000731; GO:0005524; GO:0005634; GO:0006282; GO:0008047; GO:0008270; GO:0016887; GO:0017116; GO:0033567; GO:0051276; GO:0051880	nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; enzyme activator activity [GO:0008047]; G-quadruplex DNA binding [GO:0051880]; single-stranded DNA helicase activity [GO:0017116]; zinc ion binding [GO:0008270]; chromosome organization [GO:0051276]; DNA replication, Okazaki fragment processing [GO:0033567]; DNA synthesis involved in DNA repair [GO:0000731]; regulation of DNA repair [GO:0006282]
I1S625	FGRAMPH1_01T14623	GO:0005886; GO:1903425	plasma membrane [GO:0005886]; fluoride transmembrane transporter activity [GO:1903425]
I1S671	FGRAMPH1_01T14131	GO:0004497; GO:0005506; GO:0016705; GO:0020037	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
I1S684	FG03877.1 FGRAMPH1_01T13939	GO:0003855; GO:0004764; GO:0009423; GO:0019632	3-dehydroquinate dehydratase activity [GO:0003855]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]; chorismate biosynthetic process [GO:0009423]; shikimate metabolic process [GO:0019632]
I1S687	FG03876.1 FGRAMPH1_01T13933	GO:0005351; GO:0016020	membrane [GO:0016020]; carbohydrate:proton symporter activity [GO:0005351]
I1S6B9	FG03740.1 FGRAMPH1_01T13589	GO:0016614; GO:0044550; GO:0050660	flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]; secondary metabolite biosynthetic process [GO:0044550]
I1S6C7	FG03665.1 FGRAMPH1_01T13417	GO:0000435; GO:0000978; GO:0000981; GO:0005634; GO:0006351; GO:0008270	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription from RNA polymerase II promoter by galactose [GO:0000435]
I1S6D3	FG03618.1 FGRAMPH1_01T13309	GO:0004503; GO:0042438; GO:0046872	metal ion binding [GO:0046872]; tyrosinase activity [GO:0004503]; melanin biosynthetic process [GO:0042438]
I1S6F0	FG03501.1 FGRAMPH1_01T13029	GO:0003723; GO:0003724; GO:0005524; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
I1S6H1	FG03404.1 FGRAMPH1_01T12799	GO:0004040	amidase activity [GO:0004040]
I1S6J0	FG03320.1	GO:0004553; GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
I1S6L3	FG03216.1 FGRAMPH1_01T12341	GO:0000293; GO:0005886; GO:0006826; GO:0006879; GO:0015677	plasma membrane [GO:0005886]; ferric-chelate reductase activity [GO:0000293]; copper ion import [GO:0015677]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]
I1S6L8	FG03200.1	GO:0016020	membrane [GO:0016020]
I1S6P0		GO:0016020; GO:0022857	membrane [GO:0016020]; transmembrane transporter activity [GO:0022857]
I1S6P5	FGRAMPH1_01T11997	GO:0004069; GO:0006520; GO:0030170	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; amino acid metabolic process [GO:0006520]
I1S6P6	FG03076.1 FGRAMPH1_01T11995	GO:0004657; GO:0005739; GO:0010133; GO:0071949	mitochondrion [GO:0005739]; FAD binding [GO:0071949]; proline dehydrogenase activity [GO:0004657]; L-proline catabolic process to L-glutamate [GO:0010133]
I1S6P7	FGRAMPH1_01T11981	GO:0008270; GO:0016567; GO:0061630	ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; protein ubiquitination [GO:0016567]
I1S6R1	FG03008.1 FGRAMPH1_01T11835	GO:0004497; GO:0005506; GO:0016705; GO:0020037	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
I1S6S5	FG02951.1 FGRAMPH1_01T11691	GO:0030600; GO:0045493; GO:0046872	feruloyl esterase activity [GO:0030600]; metal ion binding [GO:0046872]; xylan catabolic process [GO:0045493]
I1S6W0	FGR4 FGRAMPH1_01T16079	GO:0016829	lyase activity [GO:0016829]
I1S6W3	FG04711.1 FGRAMPH1_01T16131	GO:0008422; GO:0030245	beta-glucosidase activity [GO:0008422]; cellulose catabolic process [GO:0030245]
I1S6X6	FG04724.1 FGRAMPH1_01T16171	GO:0004497; GO:0005506; GO:0016705; GO:0020037	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
I1S724	FG04880.1 FGRAMPH1_01T16549	GO:0097621	monoamine oxidase activity [GO:0097621]
I1S746	FG05033.1 FGRAMPH1_01T16927	GO:0008660; GO:0009310; GO:0019148; GO:0030170	1-aminocyclopropane-1-carboxylate deaminase activity [GO:0008660]; D-cysteine desulfhydrase activity [GO:0019148]; pyridoxal phosphate binding [GO:0030170]; amine catabolic process [GO:0009310]
I1S769	FG05148.1 FGRAMPH1_01T17215	GO:0000329; GO:0005290; GO:0005302; GO:0015189; GO:0061459; GO:0089707; GO:0089708; GO:1990818	fungal-type vacuole membrane [GO:0000329]; L-arginine transmembrane transporter activity [GO:0061459]; L-histidine transmembrane transporter activity [GO:0005290]; L-lysine transmembrane transporter activity [GO:0015189]; L-tyrosine transmembrane transporter activity [GO:0005302]; L-arginine transmembrane export from vacuole [GO:1990818]; L-histidine transmembrane export from vacuole [GO:0089708]; L-lysine transmembrane export from vacuole [GO:0089707]
I1S771		GO:0005739; GO:0016020; GO:0016491	membrane [GO:0016020]; mitochondrion [GO:0005739]; oxidoreductase activity [GO:0016491]
I1S780		GO:0000981; GO:0003677; GO:0006351; GO:0008270	DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
I1S781		GO:0005524; GO:0005743; GO:0015421; GO:0016887; GO:0090374	mitochondrial inner membrane [GO:0005743]; ABC-type oligopeptide transporter activity [GO:0015421]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; oligopeptide export from mitochondrion [GO:0090374]
I1S7B9	FG05473.1 FGRAMPH1_01T17997	GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
I1S7H5	FGRAMPH1_01T18631	GO:0000981; GO:0005634; GO:0006351; GO:0008270; GO:0043565; GO:0045944	nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]; positive regulation of transcription by RNA polymerase II [GO:0045944]
I1S7M3	FGRAMPH1_01T19179	GO:0000387; GO:0003723; GO:0005682; GO:0005685; GO:0005686; GO:0005829; GO:0071014	cytosol [GO:0005829]; post-mRNA release spliceosomal complex [GO:0071014]; U1 snRNP [GO:0005685]; U2 snRNP [GO:0005686]; U5 snRNP [GO:0005682]; RNA binding [GO:0003723]; spliceosomal snRNP assembly [GO:0000387]
I1S7M8	FGRAMPH1_01T19243	GO:0000256; GO:0004037; GO:0006144	allantoicase activity [GO:0004037]; allantoin catabolic process [GO:0000256]; purine nucleobase metabolic process [GO:0006144]
I1S7N3	FG06033.1	GO:0003735; GO:0005634; GO:0006412; GO:0015934	large ribosomal subunit [GO:0015934]; nucleus [GO:0005634]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
I1S7N7		GO:0005737; GO:0007021; GO:0007023	cytoplasm [GO:0005737]; post-chaperonin tubulin folding pathway [GO:0007023]; tubulin complex assembly [GO:0007021]
I1S7P1	FG06085.1	GO:0004843; GO:0016579; GO:0043161; GO:0061136; GO:0070628	cysteine-type deubiquitinase activity [GO:0004843]; proteasome binding [GO:0070628]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deubiquitination [GO:0016579]; regulation of proteasomal protein catabolic process [GO:0061136]
I1S7Q3	FG06162.1	GO:0004190; GO:0005737; GO:0006508	cytoplasm [GO:0005737]; aspartic-type endopeptidase activity [GO:0004190]; proteolysis [GO:0006508]
I1S7Q8	FG06173.1 FGRAMPH1_01T19671	GO:0015297; GO:0016020; GO:0042910; GO:1990961	membrane [GO:0016020]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]
I1S7W2	FG06567.1 FGRAMPH1_01T22601	GO:0003785; GO:0005884; GO:0005938; GO:0030042; GO:0051015; GO:0051016	actin filament [GO:0005884]; cell cortex [GO:0005938]; actin filament binding [GO:0051015]; actin monomer binding [GO:0003785]; actin filament depolymerization [GO:0030042]; barbed-end actin filament capping [GO:0051016]
I1S7Y0	FG06648.1	GO:0005743; GO:0045259; GO:0046933	mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex [GO:0045259]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
I1S7Z9	FG06729.1	GO:0000123; GO:0004402; GO:0005634; GO:0006355; GO:0008270	histone acetyltransferase complex [GO:0000123]; nucleus [GO:0005634]; histone acetyltransferase activity [GO:0004402]; zinc ion binding [GO:0008270]; regulation of DNA-templated transcription [GO:0006355]
I1S834	FG06883.1 FGRAMPH1_01T23411	GO:0005768; GO:0008270; GO:0016020; GO:0043161; GO:0061630; GO:0070936	endosome [GO:0005768]; membrane [GO:0016020]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein K48-linked ubiquitination [GO:0070936]
I1S835	FGRAMPH1_01T23419	GO:0000049; GO:0005759; GO:0008252; GO:0046872; GO:0061711; GO:0072670	mitochondrial matrix [GO:0005759]; metal ion binding [GO:0046872]; nucleotidase activity [GO:0008252]; tRNA binding [GO:0000049]; tRNA N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; mitochondrial tRNA threonylcarbamoyladenosine modification [GO:0072670]
I1S838		GO:0000009; GO:0000032; GO:0000136; GO:0000917; GO:0006487; GO:0007114	mannan polymerase complex [GO:0000136]; alpha-1,6-mannosyltransferase activity [GO:0000009]; cell budding [GO:0007114]; cell wall mannoprotein biosynthetic process [GO:0000032]; division septum assembly [GO:0000917]; protein N-linked glycosylation [GO:0006487]
I1S855	FG06964.1 FGRAMPH1_01T23621	GO:0003723; GO:0003724; GO:0005524; GO:0016787	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]
I1S874		GO:0004519; GO:0005739; GO:0016020; GO:0016787; GO:0046872	membrane [GO:0016020]; mitochondrion [GO:0005739]; endonuclease activity [GO:0004519]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]
I1S8A6	FGRAMPH1_01T24151	GO:0004252; GO:0006508; GO:0016020	membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
I1S8C0		GO:0000981; GO:0003677; GO:0005634; GO:0006351; GO:0008270	nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
I1S8D2	FG07283.1 FGRAMPH1_01T24419	GO:0004458; GO:0005739; GO:0071949	mitochondrion [GO:0005739]; D-lactate dehydrogenase (cytochrome) activity [GO:0004458]; FAD binding [GO:0071949]
I1S8E1	FG07324.1	GO:0005085; GO:0006887; GO:0051286; GO:0070319	cell tip [GO:0051286]; Golgi to plasma membrane transport vesicle [GO:0070319]; guanyl-nucleotide exchange factor activity [GO:0005085]; exocytosis [GO:0006887]
I1S8E2	FGRAMPH1_01T24523	GO:0000176; GO:0000177; GO:0000467; GO:0000785; GO:0003723; GO:0005730; GO:0006397; GO:0070481; GO:0071035; GO:0071038	chromatin [GO:0000785]; cytoplasmic exosome (RNase complex) [GO:0000177]; nuclear exosome (RNase complex) [GO:0000176]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000467]; mRNA processing [GO:0006397]; nuclear polyadenylation-dependent rRNA catabolic process [GO:0071035]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; TRAMP-dependent tRNA surveillance pathway [GO:0071038]
I1S8G3	FG07385.1 FGRAMPH1_01T24689	GO:0005737; GO:0006520; GO:0016831; GO:0019752; GO:0030170	cytoplasm [GO:0005737]; carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; amino acid metabolic process [GO:0006520]; carboxylic acid metabolic process [GO:0019752]
I1S8L1	FG07694.1 FGRAMPH1_01T25403	GO:0004553; GO:0005975; GO:0030246	carbohydrate binding [GO:0030246]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]
I1S8R2	FG07900.1 FGRAMPH1_01T25933	GO:0004775; GO:0005524; GO:0005739; GO:0006099; GO:0006104; GO:0042709	mitochondrion [GO:0005739]; succinate-CoA ligase complex [GO:0042709]; ATP binding [GO:0005524]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinyl-CoA metabolic process [GO:0006104]; tricarboxylic acid cycle [GO:0006099]
I1S8T0	EFM5 FGRAMPH1_01T26075	GO:0005737; GO:0016279; GO:0032259	cytoplasm [GO:0005737]; protein-lysine N-methyltransferase activity [GO:0016279]; methylation [GO:0032259]
I1S917	FG08525.1 FGRAMPH1_01T10175	GO:0000293; GO:0005886; GO:0006826; GO:0006879; GO:0015677	plasma membrane [GO:0005886]; ferric-chelate reductase activity [GO:0000293]; copper ion import [GO:0015677]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]
I1S950	FG08355.1	GO:0005778; GO:0007031; GO:0012505	endomembrane system [GO:0012505]; peroxisomal membrane [GO:0005778]; peroxisome organization [GO:0007031]
I1S968	FGRAMPH1_01T09569	GO:0003988; GO:0005777; GO:0006635; GO:0010124	peroxisome [GO:0005777]; acetyl-CoA C-acyltransferase activity [GO:0003988]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]
I1S974	FG08271.1	GO:0005886; GO:0006826; GO:0006879; GO:0015677; GO:0052851	plasma membrane [GO:0005886]; ferric-chelate reductase (NADPH) activity [GO:0052851]; copper ion import [GO:0015677]; intracellular iron ion homeostasis [GO:0006879]; iron ion transport [GO:0006826]
