Entry	Gene Names	Gene Ontology IDs	Gene Ontology (GO)
A0A098D065	ATG11 FG00382 FGRAMPH1_01T01003	GO:0000045; GO:0000422; GO:0005774; GO:0015031; GO:0019901; GO:0034045; GO:0034517; GO:0034727; GO:0060090; GO:0061709; GO:1990316	Atg1/ULK1 kinase complex [GO:1990316]; phagophore assembly site membrane [GO:0034045]; vacuolar membrane [GO:0005774]; molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; piecemeal microautophagy of the nucleus [GO:0034727]; protein transport [GO:0015031]; reticulophagy [GO:0061709]; ribophagy [GO:0034517]
A0A098D1J7	CLM2 FGRAMPH1_01T00053	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037	membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A098D1P1	GRA1 NRPS8 FG00042 FGRAMPH1_01T00143 FGSG_15673	GO:0005737; GO:0016874; GO:0031177; GO:0043041; GO:0044550	cytoplasm [GO:0005737]; ligase activity [GO:0016874]; phosphopantetheine binding [GO:0031177]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]
A0A098D7K4	FG02622.1	GO:0000727; GO:0000792; GO:0003682; GO:0003688; GO:0003697; GO:0005524; GO:0005656; GO:0005737; GO:0006267; GO:0006271; GO:0006279; GO:0006335; GO:0008270; GO:0016887; GO:0017116; GO:0042555; GO:0043138; GO:0043596; GO:0071162; GO:0140445; GO:1902975	chromosome, telomeric repeat region [GO:0140445]; CMG complex [GO:0071162]; cytoplasm [GO:0005737]; heterochromatin [GO:0000792]; MCM complex [GO:0042555]; nuclear pre-replicative complex [GO:0005656]; nuclear replication fork [GO:0043596]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin binding [GO:0003682]; DNA replication origin binding [GO:0003688]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; zinc ion binding [GO:0008270]; DNA replication-dependent chromatin assembly [GO:0006335]; DNA strand elongation involved in DNA replication [GO:0006271]; double-strand break repair via break-induced replication [GO:0000727]; mitotic DNA replication initiation [GO:1902975]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; premeiotic DNA replication [GO:0006279]
A0A098D8A0	ZEA2 PKS13 FGRAMPH1_01T05751 FGSG_02396 FGSG_12126	GO:0004312; GO:0004315; GO:0006633; GO:0016218; GO:0016491; GO:0031177; GO:0106150	3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; polyketide synthase activity [GO:0016218]; fatty acid biosynthetic process [GO:0006633]; zearalenone biosynthetic process [GO:0106150]
A0A098DJU9	FG03850.1 katG FGRAMPH1_01T13859	GO:0004096; GO:0005576; GO:0005829; GO:0020037; GO:0042744; GO:0046872; GO:0070301	cytosol [GO:0005829]; extracellular region [GO:0005576]; catalase activity [GO:0004096]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]
A0A098DN88	FG09283.1 TRM8	GO:0000049; GO:0005634; GO:0008176; GO:0035091; GO:0106143	nucleus [GO:0005634]; tRNA (m7G46) methyltransferase complex [GO:0106143]; phosphatidylinositol binding [GO:0035091]; tRNA (guanine(46)-N7)-methyltransferase activity [GO:0008176]; tRNA binding [GO:0000049]
A0A098DRK7	ATG4 FGRAMPH1_01T26115	GO:0000045; GO:0000407; GO:0000423; GO:0004197; GO:0005634; GO:0015031; GO:0016485; GO:0019786; GO:0034727; GO:0035973	nucleus [GO:0005634]; phagophore assembly site [GO:0000407]; cysteine-type endopeptidase activity [GO:0004197]; protein-phosphatidylethanolamide deconjugating activity [GO:0019786]; aggrephagy [GO:0035973]; autophagosome assembly [GO:0000045]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; protein processing [GO:0016485]; protein transport [GO:0015031]
A0A098DRQ4	ATG20 FG06950 FGRAMPH1_01T23585	GO:0005829; GO:0006914; GO:0010008; GO:0015031; GO:0034045; GO:0035091; GO:0042147	cytosol [GO:0005829]; endosome membrane [GO:0010008]; phagophore assembly site membrane [GO:0034045]; phosphatidylinositol binding [GO:0035091]; autophagy [GO:0006914]; protein transport [GO:0015031]; retrograde transport, endosome to Golgi [GO:0042147]
A0A098DSA6	FG09456.1	GO:0003729; GO:0003872; GO:0005524; GO:0005739; GO:0005945; GO:0006002; GO:0007035; GO:0016208; GO:0030388; GO:0042802; GO:0046872; GO:0046961; GO:0048029; GO:0061621; GO:0070072; GO:0070095	6-phosphofructokinase complex [GO:0005945]; mitochondrion [GO:0005739]; 6-phosphofructokinase activity [GO:0003872]; AMP binding [GO:0016208]; ATP binding [GO:0005524]; fructose-6-phosphate binding [GO:0070095]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; monosaccharide binding [GO:0048029]; mRNA binding [GO:0003729]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; canonical glycolysis [GO:0061621]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; vacuolar acidification [GO:0007035]; vacuolar proton-transporting V-type ATPase complex assembly [GO:0070072]
